iter	TotalF1	MultiClass
0	0.5789074094	2.359209941
1	0.6788660445	2.253885647
2	0.7271323888	2.163863562
3	0.7324933911	2.07315757
4	0.7631532056	2.011079577
5	0.7751437645	1.938185115
6	0.7747125773	1.845518405
7	0.7905836053	1.780666696
8	0.8298156239	1.695939836
9	0.8381391734	1.634492495
10	0.8484501466	1.585547972
11	0.855642277	1.545662849
12	0.863415191	1.499953996
13	0.8695210135	1.443213119
14	0.8742710036	1.40124828
15	0.8748151542	1.34489394
16	0.8865408582	1.30394873
17	0.8877815835	1.268088459
18	0.8890161095	1.246652849
19	0.8883621922	1.209130722
20	0.8959733284	1.175648471
21	0.8979594757	1.143756307
22	0.8993900667	1.117156124
23	0.9023821653	1.087171532
24	0.9048697407	1.064702729
25	0.9037532897	1.040540272
26	0.9089913183	1.013070981
27	0.9115150646	0.9945402501
28	0.9109727323	0.9632394146
29	0.9114647731	0.9435147873
30	0.9104197605	0.9249176815
31	0.9128172318	0.9015141462
32	0.9150184997	0.8809552694
33	0.921166234	0.8614561643
34	0.921166234	0.8463651372
35	0.9220538793	0.8334579895
36	0.9236627064	0.8197493283
37	0.9220471208	0.8046184575
38	0.9220294982	0.7898301224
39	0.9241791876	0.7739513989
40	0.9223950343	0.7554882868
41	0.9223950343	0.7433376348
42	0.9295665113	0.7316705601
43	0.9268215279	0.7154164111
44	0.9297023075	0.7014664835
45	0.9373941777	0.68553913
46	0.9373041144	0.6764797676
47	0.9384215505	0.6687739787
48	0.9373312031	0.6569160569
49	0.9409661757	0.6472854828
50	0.9410401849	0.6343182454
51	0.9398064139	0.6235536719
52	0.9398064139	0.6142809774
53	0.9421717296	0.6062275898
54	0.9409661757	0.5970362959
55	0.9421717296	0.5870511422
56	0.9421717296	0.5784407045
57	0.9421717296	0.5688671418
58	0.9421717296	0.5590562359
59	0.9464964262	0.5506956469
60	0.9467287777	0.5426931737
61	0.9453166644	0.5357408098
62	0.9481319255	0.5263264682
63	0.9495039922	0.5193060713
64	0.9534517099	0.5112718959
65	0.9534517099	0.5042258326
66	0.9534517099	0.4992497149
67	0.9534517099	0.4921772688
68	0.9534517099	0.4862613141
69	0.9548039701	0.4797325102
70	0.9561469669	0.4749692665
71	0.9561469669	0.4711632441
72	0.9558652636	0.466260298
73	0.9572172012	0.460895988
74	0.9558652636	0.4539119244
75	0.9558652636	0.4495302844
76	0.9585132858	0.4448338589
77	0.9585132858	0.441586274
78	0.9609048485	0.4367282495
79	0.9609048485	0.4329731799
80	0.9622176721	0.4280990288
81	0.9661013091	0.4223019856
82	0.9673856229	0.4179883787
83	0.9673856229	0.4131136601
84	0.9673856229	0.4090868365
85	0.9673856229	0.4046725909
86	0.9686500835	0.4003384352
87	0.9673856229	0.3953254009
88	0.9673856229	0.3925219939
89	0.966240556	0.3873511431
90	0.966240556	0.3836888431
91	0.966240556	0.3801533483
92	0.9686500835	0.3758143492
93	0.9686500835	0.3717471881
94	0.9686500835	0.3676069395
95	0.9686500835	0.3647232872
96	0.9686500835	0.3613099687
97	0.9686500835	0.3584217257
98	0.9686500835	0.3544950846
99	0.9686500835	0.350943016
100	0.9686500835	0.3472114281
101	0.9686500835	0.3437260605
102	0.9686500835	0.3404627401
103	0.9686500835	0.3364984061
104	0.9686500835	0.3335817124
105	0.9686500835	0.331004042
106	0.9686500835	0.3282258514
107	0.9686500835	0.3253760531
108	0.9699050583	0.322494237
109	0.9711351877	0.3196483707
110	0.9711351877	0.3167557279
111	0.9711351877	0.3142098172
112	0.9711351877	0.3114438061
113	0.9711351877	0.3094055763
114	0.9711351877	0.306263442
115	0.9711351877	0.3041122756
116	0.9711351877	0.3022637901
117	0.9711351877	0.2996399131
118	0.9711351877	0.297193439
119	0.9711351877	0.2941147721
120	0.9711351877	0.2915893586
121	0.9711351877	0.2894201045
122	0.9711351877	0.2874693771
123	0.9711351877	0.2851810941
124	0.9711351877	0.2828794082
125	0.9711351877	0.2801617521
126	0.9711351877	0.2772384317
127	0.9711351877	0.2747102669
128	0.9711351877	0.27226001
129	0.9711351877	0.2705728353
130	0.9723619515	0.2690138458
131	0.9736555064	0.2673613333
132	0.9748907887	0.2654406396
133	0.9735972338	0.2632549531
134	0.9761273548	0.2612869294
135	0.9760263249	0.2589298976
136	0.9772355171	0.2565447062
137	0.9772219149	0.2543448707
138	0.9760393723	0.2526473985
139	0.9797288437	0.2500472282
140	0.9797288437	0.2487127732
141	0.9797288437	0.2468236786
142	0.9797288437	0.2453282632
143	0.9797288437	0.2439423433
144	0.9797288437	0.2423283233
145	0.9797288437	0.2404055332
146	0.9797288437	0.2383439249
147	0.9797288437	0.2362251683
148	0.9797288437	0.2346709753
149	0.9797288437	0.2329422815
150	0.9797288437	0.2314677012
151	0.9797288437	0.2291680224
152	0.9797288437	0.226935717
153	0.9797288437	0.2255512242
154	0.9797288437	0.2243894462
155	0.9797288437	0.2220820565
156	0.9797288437	0.221278536
157	0.9809122967	0.2199200853
158	0.9820858301	0.2189082525
159	0.9809122967	0.2176331146
160	0.9809122967	0.2159435231
161	0.9820858301	0.2146732593
162	0.9820858301	0.2136932067
163	0.9820858301	0.2117859092
164	0.9820858301	0.2104523523
165	0.9820858301	0.2088032968
166	0.9820858301	0.2078044979
167	0.9820858301	0.2060561539
168	0.9820858301	0.2048994549
169	0.9820858301	0.2036362308
170	0.9820858301	0.201576785
171	0.9820858301	0.2002633117
172	0.9820858301	0.19932143
173	0.9820858301	0.1981147745
174	0.9820858301	0.1965911345
175	0.9820858301	0.1949238641
176	0.9820858301	0.1935417916
177	0.9820858301	0.1924658709
178	0.9820858301	0.1911816941
179	0.9820858301	0.1900222519
180	0.9820858301	0.189671518
181	0.9820858301	0.1887699684
182	0.9820858301	0.1878676188
183	0.9820858301	0.1862846544
184	0.9820858301	0.1855697794
185	0.9820858301	0.1848388092
186	0.9820858301	0.1837780413
187	0.9820858301	0.1828737262
188	0.9820858301	0.1823431597
189	0.9820858301	0.1809686693
190	0.9820858301	0.1799648745
191	0.9820858301	0.1789428744
192	0.9820858301	0.1781522562
193	0.9820858301	0.1773726424
194	0.9820858301	0.1764340121
195	0.9820858301	0.1755630117
196	0.9844170704	0.1747600525
197	0.9855798091	0.1737505461
198	0.9844170704	0.1729379076
199	0.9844170704	0.1717303348
200	0.9844170704	0.1709572507
201	0.9855798091	0.170321995
202	0.9855798091	0.1697124893
203	0.9855798091	0.1688371766
204	0.9855798091	0.1680080884
205	0.9855798091	0.1671936717
206	0.9855798091	0.1660898124
207	0.9855798091	0.1651673125
