iter	Passed	Remaining
0	198	297247
1	244	182824
2	288	143812
3	331	123823
4	375	112170
5	419	104559
6	464	98976
7	508	94837
8	556	92188
9	602	89720
10	648	87728
11	694	86088
12	740	84701
13	785	83327
14	828	82068
15	875	81160
16	924	80666
17	966	79612
18	1004	78269
19	1040	76997
20	1077	75886
21	1116	75033
22	1153	74098
23	1190	73226
24	1228	72472
25	1267	71853
26	1305	71237
27	1343	70605
28	1381	70055
29	1419	69549
30	1456	69015
31	1495	68597
32	1532	68145
33	1569	67683
34	1607	67296
35	1644	66885
36	1681	66498
37	1719	66157
38	1756	65803
39	1793	65473
40	1832	65200
41	1870	64921
42	1911	64769
43	1950	64531
44	1988	64305
45	2025	64038
46	2062	63774
47	2099	63506
48	2136	63273
49	2174	63073
50	2211	62837
51	2248	62615
52	2285	62404
53	2323	62230
54	2362	62080
55	2402	61939
56	2441	61813
57	2481	61701
58	2521	61585
59	2560	61441
60	2597	61272
61	2636	61161
62	2676	61051
63	2715	60931
64	2755	60824
65	2794	60718
66	2835	60638
67	2873	60507
68	2914	60434
69	2953	60334
70	2992	60235
71	3031	60133
72	3072	60053
73	3111	59949
74	3151	59873
75	3192	59808
76	3230	59707
77	3269	59608
78	3309	59530
79	3351	59491
80	3389	59385
81	3428	59288
82	3466	59189
83	3504	59074
84	3540	58944
85	3580	58877
86	3620	58807
87	3659	58716
88	3697	58612
89	3736	58538
90	3775	58453
91	3813	58368
92	3851	58273
93	3889	58173
94	3926	58075
95	3965	57989
96	4003	57902
97	4043	57849
98	4082	57779
99	4122	57715
100	4161	57641
101	4199	57558
102	4237	57471
103	4275	57388
104	4313	57302
105	4351	57222
106	4387	57124
107	4425	57033
108	4463	56962
109	4502	56896
110	4540	56815
111	4579	56748
112	4617	56680
113	4656	56616
114	4694	56535
115	4732	56458
116	4770	56384
117	4808	56315
118	4845	56235
119	4887	56207
120	4927	56156
121	4966	56102
122	5005	56036
123	5043	55969
124	5081	55894
125	5119	55823
126	5157	55757
127	5195	55689
128	5233	55623
129	5271	55557
130	5310	55495
131	5348	55428
132	5386	55364
133	5423	55292
134	5462	55231
135	5501	55177
136	5541	55133
137	5580	55080
138	5618	55016
139	5658	54967
140	5697	54914
141	5744	54938
142	5785	54902
143	5824	54847
144	5863	54790
145	5902	54743
146	5941	54684
147	5981	54639
148	6018	54567
149	6056	54504
150	6095	54451
151	6132	54383
152	6171	54331
153	6208	54267
154	6246	54204
155	6284	54141
156	6324	54096
157	6362	54038
158	6401	53987
159	6439	53933
160	6477	53869
161	6514	53803
162	6552	53748
163	6591	53693
164	6628	53634
165	6667	53579
166	6709	53553
167	6746	53491
168	6785	53438
169	6823	53384
170	6860	53322
171	6898	53264
172	6939	53233
173	6981	53200
174	7019	53150
175	7058	53101
176	7100	53070
177	7138	53018
178	7178	52973
179	7216	52924
180	7257	52884
181	7294	52821
182	7332	52771
183	7376	52756
184	7419	52735
185	7458	52689
186	7496	52637
187	7535	52591
188	7574	52538
189	7616	52514
190	7658	52486
191	7698	52443
192	7737	52401
193	7777	52354
194	7816	52308
195	7854	52258
196	7894	52213
197	7935	52182
198	7973	52131
199	8012	52083
200	8050	52029
201	8089	51979
202	8127	51929
203	8165	51874
204	8204	51830
205	8243	51784
206	8282	51736
207	8321	51686
208	8358	51632
209	8397	51583
210	8436	51540
211	8474	51488
212	8513	51442
213	8553	51402
214	8591	51352
215	8630	51305
216	8668	51252
217	8706	51203
218	8743	51142
219	8781	51092
220	8819	51041
221	8858	50994
222	8896	50948
223	8937	50914
224	8978	50875
225	9016	50830
226	9054	50778
227	9093	50734
228	9131	50684
229	9169	50629
230	9207	50581
231	9245	50531
232	9283	50479
233	9321	50430
234	9359	50380
235	9398	50336
236	9437	50293
237	9476	50247
238	9514	50199
239	9553	50153
240	9591	50109
241	9629	50059
242	9668	50013
243	9707	49967
244	9744	49914
245	9781	49859
246	9819	49813
247	9858	49769
248	9896	49720
249	9935	49678
250	9975	49636
251	10013	49591
252	10053	49552
253	10092	49509
254	10132	49471
255	10168	49414
256	10207	49367
257	10245	49323
258	10284	49278
259	10322	49230
260	10362	49194
261	10401	49150
262	10440	49105
263	10478	49058
264	10516	49011
265	10553	48957
266	10591	48910
